latitude,longitude,risk_level
48.840137748275865,2.3560735999999998,0.72
48.840137748275865,2.358716,0.58
48.84166601034483,2.3560735999999998,0.55
48.84166601034483,2.358716,0.65
48.84166601034483,2.3613584,0.67
48.8431942724138,2.3560735999999998,0.45
48.8431942724138,2.358716,0.46
48.8431942724138,2.3613584,0.61
48.8431942724138,2.3640008,0.41
48.8431942724138,2.3666432,0.22
48.84472253448276,2.3560735999999998,0.4
48.84472253448276,2.358716,0.14
48.84472253448276,2.3613584,0.23
48.84472253448276,2.3640008,0.63
48.84472253448276,2.3666432,0.46
48.84472253448276,2.3692856,0.51
48.84625079655172,2.3560735999999998,0.43
48.84625079655172,2.358716,0.0
48.84625079655172,2.3613584,0.12
48.84625079655172,2.3640008,0.42
48.84625079655172,2.3666432,0.61
48.84625079655172,2.3692856,0.56
48.84625079655172,2.371928,0.17
48.84625079655172,2.3745704,0.98
48.84777905862069,2.3560735999999998,0.52
48.84777905862069,2.358716,0.38
48.84777905862069,2.3613584,0.25
48.84777905862069,2.3640008,0.4
48.84777905862069,2.3666432,0.73
48.84777905862069,2.3692856,0.71
48.84777905862069,2.371928,0.6
48.84777905862069,2.3745704,0.22
48.84777905862069,2.3772127999999997,0.64
48.849307320689654,2.3560735999999998,0.75
48.849307320689654,2.358716,0.53
48.849307320689654,2.3613584,0.27
48.849307320689654,2.3640008,0.48
48.849307320689654,2.3666432,0.66
48.849307320689654,2.3692856,0.84
48.849307320689654,2.371928,0.88
48.849307320689654,2.3745704,0.44
48.849307320689654,2.3772127999999997,0.13
48.849307320689654,2.3798551999999997,0.12
48.849307320689654,2.3824975999999998,0.84
48.85083558275862,2.3560735999999998,0.8
48.85083558275862,2.358716,0.61
48.85083558275862,2.3613584,0.28
48.85083558275862,2.3640008,0.6
48.85083558275862,2.3666432,0.76
48.85083558275862,2.3692856,0.79
48.85083558275862,2.371928,0.62
48.85083558275862,2.3745704,0.57
48.85083558275862,2.3772127999999997,0.27
48.85083558275862,2.3798551999999997,0.15
48.85083558275862,2.3824975999999998,0.15
48.85083558275862,2.38514,0.34
48.852363844827586,2.3560735999999998,0.87
48.852363844827586,2.358716,0.66
48.852363844827586,2.3613584,0.36
48.852363844827586,2.3640008,0.66
48.852363844827586,2.3666432,0.74
48.852363844827586,2.3692856,0.47
48.852363844827586,2.371928,0.32
48.852363844827586,2.3745704,0.54
48.852363844827586,2.3772127999999997,0.54
48.852363844827586,2.3798551999999997,0.46
48.852363844827586,2.3824975999999998,0.25
48.852363844827586,2.38514,0.26
48.852363844827586,2.3877824,0.09
48.85389210689655,2.3560735999999998,0.78
48.85389210689655,2.358716,0.67
48.85389210689655,2.3613584,0.45
48.85389210689655,2.3640008,0.75
48.85389210689655,2.3666432,0.83
48.85389210689655,2.3692856,0.1
48.85389210689655,2.371928,0.14
48.85389210689655,2.3745704,0.53
48.85389210689655,2.3772127999999997,0.65
48.85389210689655,2.3798551999999997,0.48
48.85389210689655,2.3824975999999998,0.38
48.85389210689655,2.38514,0.36
48.85389210689655,2.3877824,0.46
48.85389210689655,2.3904248,0.15
48.85389210689655,2.3930672,0.05
48.85542036896552,2.3402192,0.47
48.85542036896552,2.3560735999999998,0.68
48.85542036896552,2.358716,0.56
48.85542036896552,2.3613584,0.64
48.85542036896552,2.3640008,0.82
48.85542036896552,2.3666432,0.73
48.85542036896552,2.3692856,0.21
48.85542036896552,2.371928,0.05
48.85542036896552,2.3745704,0.51
48.85542036896552,2.3772127999999997,0.59
48.85542036896552,2.3798551999999997,0.47
48.85542036896552,2.3824975999999998,0.4
48.85542036896552,2.38514,0.48
48.85542036896552,2.3877824,0.37
48.85542036896552,2.3904248,0.0
48.85542036896552,2.3930672,0.18
48.85542036896552,2.3957095999999996,0.45
48.856948631034484,2.3402192,0.92
48.856948631034484,2.3428616,0.97
48.856948631034484,2.3560735999999998,0.58
48.856948631034484,2.358716,0.47
48.856948631034484,2.3613584,0.57
48.856948631034484,2.3640008,0.69
